brandId;brandName;mainGroup;mainGroupName;subGroup;subGroupName
74;Intel;1;SSD (Solid State Drive);1;"SSD 2.5"" SATA"
90;Western Digital;1;SSD (Solid State Drive);1;"SSD 2.5"" SATA"
20;Samsung;1;SSD (Solid State Drive);1;"SSD 2.5"" SATA"
220;Transcend;1;SSD (Solid State Drive);1;"SSD 2.5"" SATA"
9350;Kioxia;1;SSD (Solid State Drive);1;"SSD 2.5"" SATA"
74;Intel;2;Netwerk bedraad;3;Ethernetkaart
52;HP;2;Netwerk bedraad;3;Ethernetkaart
369;Startech;2;Netwerk bedraad;3;Ethernetkaart
323;DeLock;2;Netwerk bedraad;3;Ethernetkaart
275;QNAP;2;Netwerk bedraad;3;Ethernetkaart
209;TP-LINK;3;Netwerk draadloos;11;Wi-Fi PCI-E kaart
63;ASUS;3;Netwerk draadloos;11;Wi-Fi PCI-E kaart
88;Gigabyte;3;Netwerk draadloos;11;Wi-Fi PCI-E kaart
369;Startech;3;Netwerk draadloos;11;Wi-Fi PCI-E kaart
665;Logilink;3;Netwerk draadloos;11;Wi-Fi PCI-E kaart
12;Akasa;4;Cardreader;1;Cardreader intern
323;DeLock;4;Cardreader;1;Cardreader intern
51;Gembird;4;Cardreader;1;Cardreader intern
54;ICY BOX;4;Cardreader;1;Cardreader intern
369;Startech;4;Cardreader;1;Cardreader intern
90;Western Digital;5;Hard Disks;4;"Hard disks 3,5"""
6;Seagate;5;Hard Disks;4;"Hard disks 3,5"""
86;Toshiba;5;Hard Disks;4;"Hard disks 3,5"""
338;Lenovo;5;Hard Disks;4;"Hard disks 3,5"""
233;Synology;5;Hard Disks;4;"Hard disks 3,5"""
64;ASRock;7;Moederborden;1;Moederborden CPU Onboard
63;ASUS;7;Moederborden;1;Moederborden CPU Onboard
74;Intel;7;Moederborden;1;Moederborden CPU Onboard
88;Gigabyte;7;Moederborden;1;Moederborden CPU Onboard
63;ASUS;7;Moederborden;15;Intel Socket 1151 Moederborden
64;ASRock;7;Moederborden;15;Intel Socket 1151 Moederborden
88;Gigabyte;7;Moederborden;15;Intel Socket 1151 Moederborden
74;Intel;7;Moederborden;15;Intel Socket 1151 Moederborden
63;ASUS;7;Moederborden;19;AMD Socket AM4 Moederborden
64;ASRock;7;Moederborden;19;AMD Socket AM4 Moederborden
88;Gigabyte;7;Moederborden;19;AMD Socket AM4 Moederborden
61;MSI;7;Moederborden;19;AMD Socket AM4 Moederborden
224;Biostar;7;Moederborden;19;AMD Socket AM4 Moederborden
63;ASUS;7;Moederborden;20;Intel Socket 2066 Moederborden
64;ASRock;7;Moederborden;20;Intel Socket 2066 Moederborden
63;ASUS;7;Moederborden;27;Intel Socket 1200 Moederborden
64;ASRock;7;Moederborden;27;Intel Socket 1200 Moederborden
88;Gigabyte;7;Moederborden;27;Intel Socket 1200 Moederborden
61;MSI;7;Moederborden;27;Intel Socket 1200 Moederborden
63;ASUS;7;Moederborden;28;AMD Socket sWRX8 Moederborden
64;ASRock;7;Moederborden;28;AMD Socket sWRX8 Moederborden
88;Gigabyte;7;Moederborden;28;AMD Socket sWRX8 Moederborden
63;ASUS;7;Moederborden;29;Intel Socket 1700 Moederborden
88;Gigabyte;7;Moederborden;29;Intel Socket 1700 Moederborden
64;ASRock;7;Moederborden;29;Intel Socket 1700 Moederborden
61;MSI;7;Moederborden;29;Intel Socket 1700 Moederborden
135;NZXT;7;Moederborden;29;Intel Socket 1700 Moederborden
63;ASUS;7;Moederborden;30;AMD Socket AM5 Moederborden
88;Gigabyte;7;Moederborden;30;AMD Socket AM5 Moederborden
64;ASRock;7;Moederborden;30;AMD Socket AM5 Moederborden
61;MSI;7;Moederborden;30;AMD Socket AM5 Moederborden
135;NZXT;7;Moederborden;30;AMD Socket AM5 Moederborden
63;ASUS;7;Moederborden;31;AMD Socket sTR5 Moederborden
64;ASRock;7;Moederborden;31;AMD Socket sTR5 Moederborden
88;Gigabyte;7;Moederborden;31;AMD Socket sTR5 Moederborden
64;ASRock;7;Moederborden;32;Intel Socket 1851 Moederborden
88;Gigabyte;7;Moederborden;32;Intel Socket 1851 Moederborden
63;ASUS;7;Moederborden;32;Intel Socket 1851 Moederborden
61;MSI;7;Moederborden;32;Intel Socket 1851 Moederborden
135;NZXT;7;Moederborden;32;Intel Socket 1851 Moederborden
57;Kingston;8;Geheugen;7;DDR3 Geheugen
443;G.Skill;8;Geheugen;7;DDR3 Geheugen
167;Corsair;8;Geheugen;7;DDR3 Geheugen
4174;Dataram;8;Geheugen;7;DDR3 Geheugen
863;V7;8;Geheugen;7;DDR3 Geheugen
443;G.Skill;8;Geheugen;8;DDR4 Geheugen
57;Kingston;8;Geheugen;8;DDR4 Geheugen
167;Corsair;8;Geheugen;8;DDR4 Geheugen
220;Transcend;8;Geheugen;8;DDR4 Geheugen
4174;Dataram;8;Geheugen;8;DDR4 Geheugen
