sku;specId;valueId;spec;value;trailer
246883;12;17;Kleur Product;Zwart;
246883;34;2392;Schrijfsnelheid (max);520;MB/s
246883;82;3536;SSD Opslagcapaciteit;480;GB
246883;270;16951;Gewicht;58;gram
246883;378;20;Merk;Samsung;
246883;486;31859;Interface;SATA;
246883;486;155212;Interface;SATA III;
246883;487;2384;Leessnelheid (max);550;MB/s
246884;12;17;Kleur Product;Zwart;
246884;34;2392;Schrijfsnelheid (max);520;MB/s
246884;82;3539;SSD Opslagcapaciteit;960;GB
246884;270;16951;Gewicht;58;gram
246884;378;20;Merk;Samsung;
246884;486;31859;Interface;SATA;
246884;486;155212;Interface;SATA III;
246884;487;2384;Leessnelheid (max);550;MB/s
286313;34;99346;Schrijfsnelheid (max);1800;MB/s
286313;82;51852;SSD Opslagcapaciteit;1920;GB
286313;378;20;Merk;Samsung;
286313;486;31860;Interface;SAS;
286313;487;61619;Leessnelheid (max);2100;MB/s
286315;34;58863;Schrijfsnelheid (max);2000;MB/s
286315;82;95146;SSD Opslagcapaciteit;3840;GB
286315;378;20;Merk;Samsung;
286315;486;31860;Interface;SAS;
286315;487;61619;Leessnelheid (max);2100;MB/s
286317;34;13236;Schrijfsnelheid (max);1000;MB/s
286317;82;3539;SSD Opslagcapaciteit;960;GB
286317;378;20;Merk;Samsung;
286317;486;31860;Interface;SAS;
286317;487;61619;Leessnelheid (max);2100;MB/s
287295;34;133822;Schrijfsnelheid (max);2400;MB/s
287295;82;51852;SSD Opslagcapaciteit;1920;GB
287295;378;20;Merk;Samsung;
287295;486;164090;Interface;NVMe PCIe 4.0 x4;
287295;487;166273;Leessnelheid (max);7000;MB/s
287296;34;192905;Schrijfsnelheid (max);3800;MB/s
287296;82;95146;SSD Opslagcapaciteit;3840;GB
287296;378;20;Merk;Samsung;
287296;486;164090;Interface;NVMe PCIe 4.0 x4;
287296;487;166273;Leessnelheid (max);7000;MB/s
304754;34;165474;Schrijfsnelheid (max);4000;MB/s
304754;82;51852;SSD Opslagcapaciteit;1920;GB
304754;378;20;Merk;Samsung;
304754;486;164090;Interface;NVMe PCIe 4.0 x4;
304754;487;151440;Leessnelheid (max);6800;MB/s
304754;490;61651;Willekeurig schrijven 4KB;180.000;IOPS
351490;34;2494;Schrijfsnelheid (max);530;MB/s
351490;82;6012;SSD Opslagcapaciteit;1000;GB
351490;94;115600;Breedte;69.8;mm
351490;95;107121;Hoogte;6.8;mm
351490;96;4299;Diepte;100;mm
351490;270;8731;Gewicht;46;gram
351490;378;20;Merk;Samsung;
351490;484;158203;Geheugen type;QLC;
351490;486;31859;Interface;SATA;
351490;486;155212;Interface;SATA III;
351490;487;8291;Leessnelheid (max);560;MB/s
351490;489;6005;Willekeurig lezen 4KB;98.000;IOPS
351490;490;2529;Willekeurig schrijven 4KB;88.000;IOPS
351491;34;2494;Schrijfsnelheid (max);530;MB/s
351491;82;13997;SSD Opslagcapaciteit;2000;GB
351491;94;115600;Breedte;69.8;mm
351491;95;107121;Hoogte;6.8;mm
351491;96;4299;Diepte;100;mm
351491;270;8731;Gewicht;46;gram
351491;378;20;Merk;Samsung;
351491;484;106049;Geheugen type;MLC;
351491;484;255340;Geheugen type;V-NAND MLC;
351491;486;31859;Interface;SATA;
351491;486;155212;Interface;SATA III;
351491;487;8291;Leessnelheid (max);560;MB/s
351491;489;6005;Willekeurig lezen 4KB;98.000;IOPS
351491;490;2529;Willekeurig schrijven 4KB;88.000;IOPS
351492;34;2494;Schrijfsnelheid (max);530;MB/s
351492;82;95147;SSD Opslagcapaciteit;4000;GB
351492;94;115600;Breedte;69.8;mm
351492;95;107121;Hoogte;6.8;mm
351492;96;4299;Diepte;100;mm
351492;270;8731;Gewicht;46;gram
351492;378;20;Merk;Samsung;
351492;484;106049;Geheugen type;MLC;
351492;484;255340;Geheugen type;V-NAND MLC;
351492;486;31859;Interface;SATA;
351492;486;155212;Interface;SATA III;
351492;487;8291;Leessnelheid (max);560;MB/s
351492;489;6005;Willekeurig lezen 4KB;98.000;IOPS
351492;490;2529;Willekeurig schrijven 4KB;88.000;IOPS
351493;12;17;Kleur Product;Zwart;
351493;34;2494;Schrijfsnelheid (max);530;MB/s
351493;82;155403;SSD Opslagcapaciteit;8000;GB
351493;94;88467;Breedte;100;mm
351493;95;107121;Hoogte;6.8;mm
351493;96;114619;Diepte;69.9;mm
351493;270;23048;Gewicht;57;gram
351493;378;20;Merk;Samsung;
351493;484;106049;Geheugen type;MLC;
351493;484;255340;Geheugen type;V-NAND MLC;
351493;486;31859;Interface;SATA;
351493;487;8291;Leessnelheid (max);560;MB/s
351493;489;6005;Willekeurig lezen 4KB;98.000;IOPS
351493;490;2529;Willekeurig schrijven 4KB;88.000;IOPS
351493;492;2308;TRIM Support;Ja;
351493;493;2310;Form factor SSD;2.5 inch;
351493;884;1463;Aansluiting;SATA;
351496;12;17;Kleur Product;Zwart;
351496;34;2494;Schrijfsnelheid (max);530;MB/s
351496;82;84;SSD Opslagcapaciteit;250;GB
351496;94;88467;Breedte;100;mm
351496;95;107143;Hoogte;69.9;mm
351496;96;111083;Diepte;6.8;mm
351496;270;17167;Gewicht;45;gram
351496;378;20;Merk;Samsung;
351496;485;153856;Controller;Samsung MKX;
351496;486;155212;Interface;SATA III;
351496;487;8291;Leessnelheid (max);560;MB/s
351496;489;6005;Willekeurig lezen 4KB;98.000;IOPS
351496;490;2529;Willekeurig schrijven 4KB;88.000;IOPS
351496;492;2308;TRIM Support;Ja;
351496;493;2310;Form factor SSD;2.5 inch;
